Participant ID,Clusters,Switches
CAF-657,7,6
CAJ-663,7,6
CAM-666,7,6
CAN-667,6,5
CAP-671,6,5
CAQ-672,7,6
CAR-673,7,6
CAS-674,7,6
CAU-667,8,7
CAV-678,7,6
CAY-681,7,6
CBD-686,7,6
CBF-691,6,5
CBH-693,7,6
CBJ-697,7,6
CBL-698,7,6
CBM-702,7,6
CBP-707,7,6
CBS-711,7,6
CBW-715,6,5
CCB-720,4,3
CCC-721,5,4
CCD-722,7,6
CCF-724,6,5
CCH-726,7,6
CCL-730,7,6
CCX-744,6,5
CDG-753,7,6
CDH-754,4,3
CDM-759,6,5
CDR-764,6,5
CDU-767,6,5
SFZ-149,7,6
SGO-159,8,7
SIU-211,7,6
SIZ-390,6,5
SKE-234,7,6
SMK-401,7,6
SNI-300,6,5
SNR-308,5,4
SNT-310,7,6
SNV-312,6,5
SNY-315,7,6
SOA-317,4,3
SOE-320,4,3
SOQ-329,7,6
SOX-335,4,3
SPA-338,5,4
SPC-340,7,6
SPH-344,4,3
SPL-436,6,5
SPV-450,6,5
SPX-452,7,6
SRF-483,5,4
SRR-498,6,5
SSG-520,5,4
SSZ-539,4,3
SUG-544,5,4
SUT-556,5,4
SUV-558,6,5
SVA-563,7,6
SVH-570,5,4
SVY-587,6,5
SZA-781,5,4
